Longitude;Latitude;annee;diplome;NameOfUni;academie;domaine;discipline;situation;nombre_de_reponses;taux_de_reponse;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile
7.266587400000001;43.7169034;2013;MASTER LMD;Nice_Sophia_Antipolis_;Nice;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;329;81;90;61;65;97;1750;27300;26;11.4;1840;40;43;53;1430;2210
7.266587400000001;43.7169034;2013;MASTER LMD;Nice_Sophia_Antipolis_;Nice;Droit, économie et gestion;Droit;30 mois après le diplôme;73;82;93;80;84;96;2000;31200;26;11.4;1840;48;32;68;1430;2210
7.266587400000001;43.7169034;2013;MASTER LMD;Nice_Sophia_Antipolis_;Nice;Droit, économie et gestion;Économie;30 mois après le diplôme;33;84;97;57;78;100;ns;;26;11.4;1840;43;41;43;1430;2210
7.266587400000001;43.7169034;2013;MASTER LMD;Nice_Sophia_Antipolis_;Nice;Sciences humaines et sociales;Information communication;30 mois après le diplôme;20;77;0;ns;ns;ns;ns;;26;11.4;1840;ns;ns;ns;1430;2210
7.266587400000001;43.7169034;2013;MASTER LMD;Nice_Sophia_Antipolis_;Nice;Sciences, technologies et santé;Sciences fondamentales;30 mois après le diplôme;39;91;100;100;85;97;ns;;26;11.4;1840;74;52;74;1430;2210
7.266587400000001;43.7169034;2013;MASTER LMD;Nice_Sophia_Antipolis_;Nice;Sciences, technologies et santé;Informatique;18 mois après le diplôme;68;84;96;98;96;98;2090;32600;26;11.4;1840;95;30;19;1430;2210
7.266587400000001;43.7169034;2013;MASTER LMD;Nice_Sophia_Antipolis_;Nice;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;30;83;96;ns;ns;ns;ns;;26;11.4;1840;ns;ns;73;1430;2210
4.066776100000001;48.26916199999999;2013;MASTER LMD;Universite_de_technologie_de_Troyes_;Reims;Sciences humaines et sociales;Autres sciences humaines et sociales;18 mois après le diplôme;20;54;0;ns;ns;ns;ns;;28;10.1;1820;ns;ns;ns;1490;2150
4.066776100000001;48.26916199999999;2013;MASTER LMD;Universite_de_technologie_de_Troyes_;Reims;Sciences humaines et sociales;Autres sciences humaines et sociales;30 mois après le diplôme;20;54;0;ns;ns;ns;ns;;28;10.1;1820;ns;ns;ns;1490;2150
5.3773517;43.3048368;2013;MASTER ENS;Aix_Marseille_;Aix-Marseille;Masters enseignement;Masters enseignement;18 mois après le diplôme;166;71;96;92;91;87;1700;26500;;11.4;1840;84;26;81;1430;2210
